"ACT composite score";"SAT total score";"parental level of education";"parental income";"high school gpa";"college gpa";"years to graduate"
22;1625;"high school";40999;3;3.1;7
29;2090;"associate's degree";75817;4;3.4;5
30;2188;"bachelor's degree";82888;4;3.9;3
33;2151;"associate's degree";93518;4;3.7;5
29;2050;"associate's degree";79153;4;3.4;6
28;1976;"master's degree";100048;4;3.5;4
29;2097;"some college";46883;4;3.4;6
30;1976;"some college";67379;4;3.4;5
27;2072;"bachelor's degree";102424;4;3.9;4
32;2246;"bachelor's degree";56793;4;3.6;3
28;1956;"associate's degree";66110;4;3.4;5
28;2006;"some high school";56590;4;3.1;5
25;1868;"bachelor's degree";87574;3;3.1;5
27;1955;"some college";75111;3;3.3;6
27;1873;"bachelor's degree";93342;4;3.7;3
31;2029;"high school";47947;4;3.7;4
25;1779;"associate's degree";77493;3;3.3;7
31;2110;"some college";65866;4;3.5;4
27;1996;"high school";45824;4;3.1;6
31;2156;"bachelor's degree";74254;4;3.4;6
33;2234;"high school";71657;4;3.9;3
24;1824;"associate's degree";72319;3;3.2;6
26;1810;"some college";81527;3;3.2;5
26;1914;"some college";64410;4;3.5;3
25;1866;"some college";63514;3;3.4;7
28;1928;"high school";54938;4;3.3;4
25;1842;"high school";72810;3;3.3;4
26;1846;"associate's degree";77274;4;3.3;4
24;1800;"some high school";62857;3;3.2;4
28;1952;"bachelor's degree";59674;4;3.1;4
30;2080;"master's degree";96140;4;3.9;4
26;1784;"some college";68573;3;3.3;4
29;1913;"some college";75011;4;3.3;4
31;2101;"master's degree";75001;4;3.6;4
31;2028;"high school";55451;4;3.2;5
24;1707;"some college";65352;3;2.9;5
27;1951;"associate's degree";51677;4;3.2;4
28;2042;"some college";79886;4;3.3;4
28;1898;"high school";54004;4;3.3;4
32;2109;"some college";67094;4;3.4;4
29;2031;"master's degree";106538;4;3.3;6
27;1935;"some college";62701;4;3.4;4
24;1849;"some high school";57021;3;3.2;5
24;1828;"associate's degree";70581;3;3.1;6
